103079215185,MEMBER,<empty>,<empty>,unsafeArrayIndex,47,,<empty>,900,unsafeArrayIndex,,,1,,std.list<CTU.FileInfo.UnsafeUsage>
103079215186,MEMBER,<empty>,<empty>,unsafePointerArith,47,,<empty>,903,unsafePointerArith,,,2,,std.list<CTU.FileInfo.UnsafeUsage>
103079215187,MEMBER,<empty>,<empty>,*var,24,,<empty>,2682,var,,,2,,Variable*
103079215188,MEMBER,<empty>,<empty>,*tok,21,,<empty>,2683,tok,,,3,,Token*
103079215189,MEMBER,<empty>,<empty>,initArgs,38,,<empty>,2684,initArgs,,,4,,std.vector<constVariable*>
103079215190,MEMBER,<empty>,<empty>,* classVar,23,,<empty>,3013,classVar,,,2,,Variable*
103079215191,MEMBER,<empty>,<empty>,* parentClassVar,23,,<empty>,3014,parentClassVar,,,3,,Variable*
103079215192,MEMBER,<empty>,<empty>,* parentClass,29,,<empty>,3015,parentClass,,,4,,Type.BaseInfo*
103079215193,MEMBER,<empty>,<empty>,* classFunc,23,,<empty>,3019,classFunc,,,2,,Function*
103079215194,MEMBER,<empty>,<empty>,* parentClassFunc,23,,<empty>,3020,parentClassFunc,,,3,,Function*
103079215195,MEMBER,<empty>,<empty>,* parentClass,29,,<empty>,3021,parentClass,,,4,,Type.BaseInfo*
103079215196,MEMBER,<empty>,<empty>,NO,5,,<empty>,3125,NO,,,1,,std.uint8_t
103079215197,MEMBER,<empty>,<empty>,WITHOUT_BODY,5,,<empty>,3126,WITHOUT_BODY,,,2,,std.uint8_t
103079215198,MEMBER,<empty>,<empty>,WITH_BODY,5,,<empty>,3127,WITH_BODY,,,3,,std.uint8_t
103079215199,MEMBER,<empty>,<empty>,className,25,,<empty>,3572,className,,,1,,std.string
103079215200,MEMBER,<empty>,<empty>,fileName,25,,<empty>,3573,fileName,,,2,,std.string
103079215201,MEMBER,<empty>,<empty>,lineNumber,17,,<empty>,3574,lineNumber,,,3,,int
103079215202,MEMBER,<empty>,<empty>,column,17,,<empty>,3575,column,,,4,,int
103079215203,MEMBER,<empty>,<empty>,hash,25,,<empty>,3576,hash,,,5,,std.size_t
103079215204,MEMBER,<empty>,<empty>,classDefinitions,30,,<empty>,3584,classDefinitions,,,2,,std.vector<NameLoc>
103079215205,MEMBER,<empty>,<empty>,CLOSED,38,,<empty>,99,CLOSED,,,1,,std.uint8_t
103079215206,MEMBER,<empty>,<empty>,READ_MODE,46,,<empty>,99,READ_MODE,,,2,,std.uint8_t
103079215207,MEMBER,<empty>,<empty>,WRITE_MODE,57,,<empty>,99,WRITE_MODE,,,3,,std.uint8_t
103079215208,MEMBER,<empty>,<empty>,RW_MODE,69,,<empty>,99,RW_MODE,,,4,,std.uint8_t
103079215209,MEMBER,<empty>,<empty>,UNKNOWN_OM,78,,<empty>,99,UNKNOWN_OM,,,5,,std.uint8_t
